,Número de Mesa,Nombre del Cliente,Número de Comensales,Mesero Asignado,Tipo de Servicio,Método de Pago,Propina,Estado de la Mesa,Número de Orden,País de Origen,Platos Ordenados,Fecha de Factura,Hora de Llegada,Hora de Salida,Monto Total,Tiempo de Preparación,Tiempo en la Mesa,Tiempo de Permanencia,Tiempo de Degustación,La Cuenta fue Cobrada
11,14,Cliente_890,6,Mesero_4,Cena,Tarjeta de crédito,45.27,Ocupada,12,Colombia,"Plato_16, Plato_19, Plato_8, Plato_20",01/04/2023,00:04:00,03:23:00,326,0 days 04:29:00,0 days 03:19:00,0 days 03:34:00,-1 days +23:05:00,No
12,2,Cliente_873,1,Mesero_5,Almuerzo,Efectivo,22.06,Ocupada,13,Brasil,Plato_9,01/04/2023,03:09:00,05:32:00,87,0 days 02:57:00,0 days 02:23:00,0 days 02:38:00,-1 days +23:41:00,No
13,16,Cliente_780,6,Mesero_2,Almuerzo,Efectivo,48.76,Libre,14,Perú,"Plato_3, Plato_11, Plato_14, Plato_2",01/04/2023,00:18:00,01:58:00,129,0 days 03:18:00,0 days 01:40:00,0 days 01:40:00,-1 days +22:22:00,No
14,6,Cliente_728,4,Mesero_1,Desayuno,Tarjeta de crédito,28.77,Ocupada,15,Uruguay,"Plato_16, Plato_13, Plato_8",01/04/2023,03:24:00,04:59:00,224,0 days 04:44:00,0 days 01:35:00,0 days 01:50:00,-1 days +21:06:00,No
15,20,Cliente_175,5,Mesero_4,Almuerzo,Efectivo,37.9,Reservada,16,Bolivia,Plato_16,01/04/2023,02:31:00,04:24:00,28,0 days 00:38:00,0 days 01:53:00,0 days 01:53:00,0 days 01:15:00,Si
16,14,Cliente_200,6,Mesero_2,Desayuno,Tarjeta de crédito,12.17,Libre,17,Ecuador,"Plato_8, Plato_4, Plato_5",01/04/2023,00:09:00,03:27:00,137,0 days 05:30:00,0 days 03:18:00,0 days 03:18:00,-1 days +21:48:00,No
17,9,Cliente_190,2,Mesero_2,Desayuno,Tarjeta de crédito,33.09,Libre,18,Colombia,"Plato_9, Plato_20, Plato_10, Plato_15",01/04/2023,02:06:00,04:26:00,251,0 days 04:28:00,0 days 02:20:00,0 days 02:20:00,-1 days +21:52:00,No
18,18,Cliente_290,3,Mesero_2,Almuerzo,Tarjeta de crédito,17.45,Libre,19,Chile,Plato_20,01/04/2023,00:35:00,03:29:00,80,0 days 01:28:00,0 days 02:54:00,0 days 02:54:00,0 days 01:26:00,Si
19,8,Cliente_972,2,Mesero_3,Almuerzo,Tarjeta de crédito,31.7,Reservada,20,Chile,"Plato_8, Plato_1, Plato_14",01/04/2023,01:25:00,05:12:00,178,0 days 02:56:00,0 days 03:47:00,0 days 03:47:00,0 days 00:51:00,Si
20,12,Cliente_210,2,Mesero_3,Almuerzo,Tarjeta de crédito,20.53,Reservada,21,Uruguay,"Plato_20, Plato_3, Plato_15, Plato_1",01/04/2023,03:39:00,05:52:00,274,0 days 05:24:00,0 days 02:13:00,0 days 02:13:00,-1 days +20:49:00,No
21,15,Cliente_88,1,Mesero_4,Almuerzo,Tarjeta de crédito,45.41,Libre,22,Ecuador,"Plato_4, Plato_18, Plato_9, Plato_8",01/04/2023,02:16:00,04:47:00,213,0 days 02:54:00,0 days 02:31:00,0 days 02:31:00,-1 days +23:37:00,No
22,1,Cliente_427,5,Mesero_5,Cena,Tarjeta de crédito,38.46,Libre,23,Chile,"Plato_12, Plato_6",01/04/2023,02:44:00,04:09:00,138,0 days 03:09:00,0 days 01:25:00,0 days 01:25:00,-1 days +22:16:00,No
23,5,Cliente_424,5,Mesero_3,Almuerzo,Tarjeta de crédito,38.18,Ocupada,24,Venezuela,"Plato_10, Plato_9, Plato_14, Plato_20",01/04/2023,03:01:00,06:20:00,233,0 days 05:59:00,0 days 03:19:00,0 days 03:34:00,-1 days +21:35:00,No
24,12,Cliente_824,5,Mesero_5,Cena,Tarjeta de débito,46.15,Ocupada,25,Colombia,Plato_18,01/04/2023,03:01:00,04:59:00,34,0 days 00:35:00,0 days 01:58:00,0 days 02:13:00,0 days 01:38:00,Si
25,18,Cliente_107,2,Mesero_5,Desayuno,Tarjeta de crédito,10.37,Ocupada,26,Uruguay,"Plato_4, Plato_13, Plato_7",01/04/2023,02:04:00,05:47:00,126,0 days 03:38:00,0 days 03:43:00,0 days 03:58:00,0 days 00:20:00,Si
26,4,Cliente_775,2,Mesero_5,Almuerzo,Tarjeta de crédito,19.27,Ocupada,27,Brasil,"Plato_8, Plato_10",01/04/2023,01:19:00,02:27:00,61,0 days 00:55:00,0 days 01:08:00,0 days 01:23:00,0 days 00:28:00,Si
27,2,Cliente_358,2,Mesero_4,Cena,Tarjeta de crédito,41.22,Reservada,28,Argentina,"Plato_4, Plato_9",01/04/2023,00:49:00,03:16:00,94,0 days 01:52:00,0 days 02:27:00,0 days 02:27:00,0 days 00:35:00,Si
28,20,Cliente_377,5,Mesero_2,Almuerzo,Tarjeta de crédito,14.83,Ocupada,29,Ecuador,"Plato_1, Plato_4, Plato_17",01/04/2023,03:02:00,06:10:00,173,0 days 02:44:00,0 days 03:08:00,0 days 03:23:00,0 days 00:39:00,Si
29,14,Cliente_361,4,Mesero_4,Almuerzo,Efectivo,26.29,Libre,30,Venezuela,"Plato_10, Plato_3",01/04/2023,02:55:00,06:13:00,112,0 days 03:13:00,0 days 03:18:00,0 days 03:18:00,0 days 00:05:00,Si
30,13,Cliente_229,3,Mesero_2,Desayuno,Tarjeta de crédito,19.81,Ocupada,31,Argentina,"Plato_9, Plato_12",01/04/2023,02:51:00,06:02:00,67,0 days 02:31:00,0 days 03:11:00,0 days 03:26:00,0 days 00:55:00,Si
31,5,Cliente_27,1,Mesero_1,Almuerzo,Tarjeta de crédito,28.25,Ocupada,32,Uruguay,"Plato_15, Plato_11, Plato_10, Plato_4",01/04/2023,03:08:00,06:49:00,211,0 days 04:31:00,0 days 03:41:00,0 days 03:56:00,-1 days +23:25:00,No
32,4,Cliente_103,5,Mesero_4,Cena,Tarjeta de débito,20.38,Ocupada,33,Perú,"Plato_8, Plato_6, Plato_15, Plato_10",01/04/2023,03:33:00,06:21:00,306,0 days 04:32:00,0 days 02:48:00,0 days 03:03:00,-1 days +22:31:00,No
33,15,Cliente_1,1,Mesero_4,Desayuno,Tarjeta de crédito,13.08,Libre,34,Perú,"Plato_18, Plato_10",01/04/2023,02:16:00,06:07:00,112,0 days 01:43:00,0 days 03:51:00,0 days 03:51:00,0 days 02:08:00,Si
34,13,Cliente_828,2,Mesero_3,Almuerzo,Tarjeta de crédito,15.75,Ocupada,35,Perú,"Plato_2, Plato_9, Plato_11, Plato_17",01/04/2023,03:18:00,05:55:00,214,0 days 01:46:00,0 days 02:37:00,0 days 02:52:00,0 days 01:06:00,Si
35,5,Cliente_874,5,Mesero_2,Almuerzo,Tarjeta de crédito,45.28,Ocupada,36,Bolivia,Plato_2,01/04/2023,03:27:00,06:26:00,30,0 days 00:38:00,0 days 02:59:00,0 days 03:14:00,0 days 02:36:00,Si
36,20,Cliente_999,1,Mesero_5,Cena,Tarjeta de crédito,10.39,Ocupada,37,Brasil,Plato_13,01/04/2023,03:24:00,06:02:00,21,0 days 00:47:00,0 days 02:38:00,0 days 02:53:00,0 days 02:06:00,Si
37,10,Cliente_167,6,Mesero_4,Almuerzo,Tarjeta de débito,16.31,Reservada,38,Chile,"Plato_17, Plato_8, Plato_19",01/04/2023,02:38:00,03:53:00,235,0 days 03:37:00,0 days 01:15:00,0 days 01:15:00,-1 days +21:38:00,No
38,15,Cliente_606,3,Mesero_2,Cena,Efectivo,48.36,Ocupada,39,Bolivia,Plato_19,01/04/2023,03:41:00,07:39:00,108,0 days 02:51:00,0 days 03:58:00,0 days 04:13:00,0 days 01:22:00,Si
39,1,Cliente_710,1,Mesero_3,Almuerzo,Efectivo,13.68,Libre,40,Argentina,"Plato_9, Plato_11, Plato_16",01/04/2023,02:00:00,04:05:00,148,0 days 01:48:00,0 days 02:05:00,0 days 02:05:00,0 days 00:17:00,Si
40,7,Cliente_870,4,Mesero_2,Almuerzo,Tarjeta de crédito,15.24,Ocupada,41,Perú,"Plato_15, Plato_10, Plato_2",01/04/2023,02:14:00,04:20:00,204,0 days 03:49:00,0 days 02:06:00,0 days 02:21:00,-1 days +22:32:00,No
41,14,Cliente_230,1,Mesero_2,Almuerzo,Tarjeta de crédito,49.58,Reservada,42,Bolivia,"Plato_5, Plato_20",01/04/2023,00:25:00,01:46:00,102,0 days 01:21:00,0 days 01:21:00,0 days 01:21:00,0 days 00:00:00,Si
42,8,Cliente_814,6,Mesero_4,Almuerzo,Tarjeta de crédito,32.19,Ocupada,43,Perú,"Plato_15, Plato_18, Plato_7, Plato_17",01/04/2023,01:02:00,03:14:00,203,0 days 05:19:00,0 days 02:12:00,0 days 02:27:00,-1 days +21:08:00,No
43,18,Cliente_710,1,Mesero_4,Almuerzo,Tarjeta de crédito,42.6,Libre,44,España,"Plato_10, Plato_1, Plato_13",01/04/2023,03:06:00,06:18:00,122,0 days 01:41:00,0 days 03:12:00,0 days 03:12:00,0 days 01:31:00,Si
44,17,Cliente_640,2,Mesero_2,Almuerzo,Tarjeta de crédito,25.41,Reservada,45,Perú,Plato_4,01/04/2023,02:15:00,04:01:00,54,0 days 02:21:00,0 days 01:46:00,0 days 01:46:00,-1 days +23:25:00,No
45,10,Cliente_623,1,Mesero_5,Almuerzo,Tarjeta de crédito,27.97,Libre,46,Chile,"Plato_2, Plato_18, Plato_14",01/04/2023,01:47:00,03:39:00,140,0 days 02:04:00,0 days 01:52:00,0 days 01:52:00,-1 days +23:48:00,No
46,18,Cliente_72,3,Mesero_2,Almuerzo,Tarjeta de crédito,10.98,Ocupada,47,Brasil,"Plato_11, Plato_14, Plato_3",01/04/2023,03:30:00,07:29:00,109,0 days 02:23:00,0 days 03:59:00,0 days 04:14:00,0 days 01:51:00,Si
47,17,Cliente_963,2,Mesero_3,Desayuno,Tarjeta de crédito,25.31,Libre,48,Bolivia,"Plato_6, Plato_5, Plato_11",01/04/2023,00:28:00,04:02:00,158,0 days 04:13:00,0 days 03:34:00,0 days 03:34:00,-1 days +23:21:00,No
48,8,Cliente_929,3,Mesero_2,Almuerzo,Tarjeta de crédito,20.92,Libre,49,Uruguay,"Plato_7, Plato_15, Plato_4",01/04/2023,01:44:00,05:29:00,186,0 days 02:33:00,0 days 03:45:00,0 days 03:45:00,0 days 01:12:00,Si
49,19,Cliente_708,5,Mesero_4,Almuerzo,Tarjeta de débito,16.74,Ocupada,50,Argentina,"Plato_15, Plato_5",01/04/2023,03:54:00,06:57:00,76,0 days 00:36:00,0 days 03:03:00,0 days 03:18:00,0 days 02:42:00,Si
50,12,Cliente_631,1,Mesero_5,Cena,Tarjeta de crédito,37.08,Reservada,51,España,"Plato_14, Plato_11, Plato_5, Plato_4",01/04/2023,01:42:00,03:02:00,225,0 days 06:24:00,0 days 01:20:00,0 days 01:20:00,-1 days +18:56:00,No
51,7,Cliente_894,4,Mesero_3,Almuerzo,Tarjeta de crédito,46.88,Libre,52,Paraguay,"Plato_11, Plato_17, Plato_18",01/04/2023,00:01:00,01:11:00,263,0 days 02:49:00,0 days 01:10:00,0 days 01:10:00,-1 days +22:21:00,No
52,16,Cliente_63,5,Mesero_5,Almuerzo,Tarjeta de débito,36.88,Libre,53,Paraguay,"Plato_14, Plato_2, Plato_19",01/04/2023,03:01:00,04:44:00,267,0 days 05:36:00,0 days 01:43:00,0 days 01:43:00,-1 days +20:07:00,No
53,6,Cliente_144,6,Mesero_4,Cena,Tarjeta de crédito,23.36,Reservada,54,Bolivia,"Plato_8, Plato_17, Plato_4, Plato_11",01/04/2023,00:40:00,04:14:00,187,0 days 04:57:00,0 days 03:34:00,0 days 03:34:00,-1 days +22:37:00,No
54,20,Cliente_390,5,Mesero_4,Cena,Tarjeta de crédito,45.49,Ocupada,55,Perú,"Plato_11, Plato_7, Plato_19, Plato_15",01/04/2023,01:30:00,05:00:00,255,0 days 02:56:00,0 days 03:30:00,0 days 03:45:00,0 days 00:49:00,Si
55,1,Cliente_728,3,Mesero_5,Almuerzo,Tarjeta de débito,43.2,Libre,56,Ecuador,"Plato_9, Plato_12",01/04/2023,01:20:00,04:57:00,48,0 days 01:18:00,0 days 03:37:00,0 days 03:37:00,0 days 02:19:00,Si
56,18,Cliente_886,2,Mesero_2,Almuerzo,Tarjeta de crédito,45.45,Libre,57,Colombia,"Plato_8, Plato_20, Plato_5, Plato_19",01/04/2023,03:04:00,04:52:00,169,0 days 01:15:00,0 days 01:48:00,0 days 01:48:00,0 days 00:33:00,Si
57,8,Cliente_510,3,Mesero_1,Cena,Tarjeta de crédito,30.7,Reservada,58,Brasil,"Plato_5, Plato_3",01/04/2023,01:31:00,04:21:00,82,0 days 03:05:00,0 days 02:50:00,0 days 02:50:00,-1 days +23:45:00,No
58,8,Cliente_878,4,Mesero_1,Almuerzo,Efectivo,33.89,Libre,59,Colombia,"Plato_12, Plato_14, Plato_4, Plato_20",01/04/2023,01:21:00,05:04:00,160,0 days 01:23:00,0 days 03:43:00,0 days 03:43:00,0 days 02:20:00,Si
59,6,Cliente_977,1,Mesero_1,Almuerzo,Tarjeta de crédito,19.54,Reservada,60,Bolivia,"Plato_4, Plato_11",01/04/2023,02:09:00,05:46:00,102,0 days 01:26:00,0 days 03:37:00,0 days 03:37:00,0 days 02:11:00,Si
60,10,Cliente_553,5,Mesero_2,Almuerzo,Tarjeta de crédito,42.87,Ocupada,61,Chile,"Plato_20, Plato_4, Plato_2, Plato_16",01/04/2023,03:49:00,06:22:00,242,0 days 05:30:00,0 days 02:33:00,0 days 02:48:00,-1 days +21:18:00,No
61,2,Cliente_792,1,Mesero_1,Cena,Tarjeta de crédito,37.93,Ocupada,62,Argentina,"Plato_2, Plato_12, Plato_17",01/04/2023,02:47:00,06:24:00,148,0 days 05:06:00,0 days 03:37:00,0 days 03:52:00,-1 days +22:46:00,No
62,17,Cliente_881,4,Mesero_4,Almuerzo,Tarjeta de crédito,33.34,Reservada,63,Colombia,"Plato_3, Plato_8",01/04/2023,00:41:00,04:06:00,55,0 days 00:30:00,0 days 03:25:00,0 days 03:25:00,0 days 02:55:00,Si
63,3,Cliente_265,3,Mesero_5,Desayuno,Efectivo,34.77,Reservada,64,Perú,"Plato_3, Plato_20, Plato_19",01/04/2023,01:40:00,04:02:00,288,0 days 04:06:00,0 days 02:22:00,0 days 02:22:00,-1 days +22:16:00,No
64,5,Cliente_946,1,Mesero_3,Almuerzo,Tarjeta de débito,14.0,Ocupada,65,Bolivia,"Plato_16, Plato_17, Plato_12, Plato_20",01/04/2023,01:54:00,03:03:00,196,0 days 04:34:00,0 days 01:09:00,0 days 01:24:00,-1 days +20:50:00,No
65,18,Cliente_614,2,Mesero_5,Almuerzo,Tarjeta de crédito,10.88,Reservada,66,España,"Plato_19, Plato_20, Plato_4",01/04/2023,02:28:00,06:18:00,210,0 days 04:44:00,0 days 03:50:00,0 days 03:50:00,-1 days +23:06:00,No
66,2,Cliente_352,6,Mesero_2,Almuerzo,Tarjeta de débito,21.25,Reservada,67,Perú,"Plato_20, Plato_19, Plato_10, Plato_2",01/04/2023,03:45:00,05:10:00,256,0 days 04:39:00,0 days 01:25:00,0 days 01:25:00,-1 days +20:46:00,No
67,8,Cliente_784,4,Mesero_5,Cena,Tarjeta de crédito,45.65,Ocupada,68,Brasil,"Plato_14, Plato_16, Plato_15, Plato_1",01/04/2023,00:02:00,03:15:00,218,0 days 05:45:00,0 days 03:13:00,0 days 03:28:00,-1 days +21:43:00,No
68,5,Cliente_118,4,Mesero_2,Almuerzo,Tarjeta de crédito,31.49,Libre,69,Perú,"Plato_13, Plato_7, Plato_11",01/04/2023,02:02:00,03:57:00,234,0 days 04:36:00,0 days 01:55:00,0 days 01:55:00,-1 days +21:19:00,No
69,17,Cliente_61,4,Mesero_4,Almuerzo,Tarjeta de débito,28.26,Libre,70,Paraguay,"Plato_1, Plato_18",01/04/2023,00:11:00,01:22:00,118,0 days 01:20:00,0 days 01:11:00,0 days 01:11:00,-1 days +23:51:00,No
70,18,Cliente_440,4,Mesero_3,Almuerzo,Tarjeta de crédito,24.01,Ocupada,71,Paraguay,"Plato_2, Plato_14",01/04/2023,01:57:00,05:56:00,136,0 days 01:58:00,0 days 03:59:00,0 days 04:14:00,0 days 02:16:00,Si
71,17,Cliente_258,1,Mesero_2,Almuerzo,Tarjeta de crédito,15.28,Reservada,72,Perú,"Plato_13, Plato_4",01/04/2023,02:42:00,05:51:00,75,0 days 02:08:00,0 days 03:09:00,0 days 03:09:00,0 days 01:01:00,Si
72,1,Cliente_742,4,Mesero_4,Desayuno,Tarjeta de crédito,34.51,Libre,73,Argentina,Plato_6,01/04/2023,02:39:00,06:09:00,81,0 days 01:00:00,0 days 03:30:00,0 days 03:30:00,0 days 02:30:00,Si
73,19,Cliente_865,4,Mesero_4,Almuerzo,Tarjeta de crédito,30.83,Libre,74,Brasil,"Plato_10, Plato_18, Plato_15",01/04/2023,01:04:00,04:13:00,218,0 days 03:57:00,0 days 03:09:00,0 days 03:09:00,-1 days +23:12:00,No
74,19,Cliente_79,5,Mesero_5,Almuerzo,Tarjeta de crédito,45.23,Ocupada,75,Venezuela,"Plato_20, Plato_14",01/04/2023,03:36:00,04:49:00,109,0 days 01:23:00,0 days 01:13:00,0 days 01:28:00,0 days 00:05:00,Si
75,17,Cliente_42,3,Mesero_1,Almuerzo,Tarjeta de crédito,17.76,Reservada,76,Argentina,"Plato_2, Plato_4, Plato_7, Plato_10",01/04/2023,02:57:00,05:24:00,158,0 days 02:03:00,0 days 02:27:00,0 days 02:27:00,0 days 00:24:00,Si
76,3,Cliente_374,1,Mesero_3,Cena,Tarjeta de crédito,19.88,Libre,77,Bolivia,"Plato_4, Plato_7, Plato_11",01/04/2023,02:46:00,06:15:00,99,0 days 02:32:00,0 days 03:29:00,0 days 03:29:00,0 days 00:57:00,Si
77,7,Cliente_636,4,Mesero_3,Almuerzo,Tarjeta de crédito,20.02,Libre,78,Colombia,Plato_12,01/04/2023,01:34:00,03:03:00,57,0 days 02:42:00,0 days 01:29:00,0 days 01:29:00,-1 days +22:47:00,No
78,16,Cliente_753,2,Mesero_3,Almuerzo,Tarjeta de crédito,34.01,Libre,79,Venezuela,"Plato_9, Plato_11, Plato_3, Plato_13",01/04/2023,01:34:00,05:08:00,309,0 days 04:48:00,0 days 03:34:00,0 days 03:34:00,-1 days +22:46:00,No
79,18,Cliente_632,6,Mesero_4,Almuerzo,Tarjeta de crédito,39.05,Libre,80,Venezuela,"Plato_5, Plato_9, Plato_7",01/04/2023,02:14:00,03:46:00,121,0 days 01:40:00,0 days 01:32:00,0 days 01:32:00,-1 days +23:52:00,No
80,17,Cliente_969,4,Mesero_5,Cena,Tarjeta de crédito,23.69,Ocupada,81,Uruguay,Plato_17,01/04/2023,03:40:00,06:31:00,62,0 days 01:58:00,0 days 02:51:00,0 days 03:06:00,0 days 01:08:00,Si
81,16,Cliente_574,3,Mesero_5,Desayuno,Tarjeta de crédito,38.6,Libre,82,Paraguay,"Plato_1, Plato_2",01/04/2023,03:25:00,07:10:00,80,0 days 00:30:00,0 days 03:45:00,0 days 03:45:00,0 days 03:15:00,Si
82,15,Cliente_292,1,Mesero_1,Cena,Tarjeta de crédito,24.94,Ocupada,83,Argentina,"Plato_6, Plato_3, Plato_15",01/04/2023,03:42:00,06:39:00,170,0 days 03:28:00,0 days 02:57:00,0 days 03:12:00,-1 days +23:44:00,No
83,19,Cliente_148,5,Mesero_4,Almuerzo,Tarjeta de crédito,15.11,Ocupada,84,Perú,Plato_2,01/04/2023,01:42:00,03:18:00,60,0 days 00:20:00,0 days 01:36:00,0 days 01:51:00,0 days 01:31:00,Si
84,8,Cliente_747,3,Mesero_2,Cena,Tarjeta de crédito,45.96,Libre,85,Ecuador,"Plato_16, Plato_19, Plato_3, Plato_15",01/04/2023,02:35:00,04:31:00,208,0 days 03:47:00,0 days 01:56:00,0 days 01:56:00,-1 days +22:09:00,No
85,20,Cliente_501,3,Mesero_5,Almuerzo,Tarjeta de débito,11.84,Libre,86,España,Plato_1,01/04/2023,00:02:00,02:08:00,50,0 days 00:16:00,0 days 02:06:00,0 days 02:06:00,0 days 01:50:00,Si
86,3,Cliente_733,2,Mesero_4,Almuerzo,Tarjeta de crédito,29.46,Ocupada,87,Venezuela,"Plato_4, Plato_15, Plato_17",01/04/2023,01:46:00,03:18:00,99,0 days 02:06:00,0 days 01:32:00,0 days 01:47:00,-1 days +23:41:00,No
87,18,Cliente_36,1,Mesero_4,Almuerzo,Tarjeta de débito,23.93,Reservada,88,Ecuador,"Plato_20, Plato_12, Plato_10",01/04/2023,03:30:00,06:40:00,123,0 days 03:29:00,0 days 03:10:00,0 days 03:10:00,-1 days +23:41:00,No
88,11,Cliente_553,4,Mesero_5,Desayuno,Tarjeta de débito,12.28,Libre,89,Uruguay,"Plato_14, Plato_18, Plato_5",01/04/2023,00:42:00,02:19:00,159,0 days 04:48:00,0 days 01:37:00,0 days 01:37:00,-1 days +20:49:00,No
89,6,Cliente_1000,3,Mesero_5,Almuerzo,Tarjeta de débito,30.69,Reservada,90,Ecuador,Plato_18,01/04/2023,01:17:00,03:13:00,34,0 days 00:48:00,0 days 01:56:00,0 days 01:56:00,0 days 01:08:00,Si
90,1,Cliente_607,5,Mesero_5,Almuerzo,Tarjeta de crédito,39.1,Reservada,91,España,"Plato_8, Plato_13, Plato_5, Plato_6",01/04/2023,03:38:00,05:24:00,293,0 days 06:25:00,0 days 01:46:00,0 days 01:46:00,-1 days +19:21:00,No
91,6,Cliente_378,2,Mesero_2,Desayuno,Tarjeta de crédito,12.75,Libre,92,Venezuela,"Plato_9, Plato_7",01/04/2023,03:35:00,06:09:00,82,0 days 01:18:00,0 days 02:34:00,0 days 02:34:00,0 days 01:16:00,Si
92,2,Cliente_612,2,Mesero_2,Almuerzo,Tarjeta de crédito,45.66,Libre,93,Perú,Plato_9,01/04/2023,01:39:00,03:48:00,29,0 days 00:18:00,0 days 02:09:00,0 days 02:09:00,0 days 01:51:00,Si
93,12,Cliente_452,1,Mesero_4,Almuerzo,Tarjeta de crédito,28.36,Ocupada,94,Chile,"Plato_2, Plato_15, Plato_11",01/04/2023,01:52:00,04:53:00,253,0 days 05:31:00,0 days 03:01:00,0 days 03:16:00,-1 days +21:45:00,No
94,12,Cliente_244,5,Mesero_2,Cena,Tarjeta de crédito,24.68,Ocupada,95,España,"Plato_12, Plato_15",01/04/2023,03:19:00,06:07:00,153,0 days 02:03:00,0 days 02:48:00,0 days 03:03:00,0 days 01:00:00,Si
95,16,Cliente_840,5,Mesero_4,Desayuno,Tarjeta de crédito,33.63,Libre,96,Bolivia,"Plato_11, Plato_12, Plato_7",01/04/2023,01:59:00,05:26:00,176,0 days 02:51:00,0 days 03:27:00,0 days 03:27:00,0 days 00:36:00,Si
96,14,Cliente_993,2,Mesero_2,Cena,Tarjeta de crédito,19.22,Ocupada,97,Ecuador,"Plato_10, Plato_3, Plato_18",01/04/2023,01:46:00,03:03:00,188,0 days 03:23:00,0 days 01:17:00,0 days 01:32:00,-1 days +22:09:00,No
97,7,Cliente_29,3,Mesero_5,Almuerzo,Tarjeta de crédito,17.15,Ocupada,98,Bolivia,"Plato_3, Plato_9, Plato_12",01/04/2023,01:01:00,03:22:00,166,0 days 05:18:00,0 days 02:21:00,0 days 02:36:00,-1 days +21:18:00,No
98,2,Cliente_873,6,Mesero_2,Almuerzo,Tarjeta de crédito,33.55,Ocupada,99,Chile,"Plato_2, Plato_17, Plato_12, Plato_9",01/04/2023,02:22:00,06:18:00,139,0 days 01:53:00,0 days 03:56:00,0 days 04:11:00,0 days 02:18:00,Si
99,18,Cliente_965,1,Mesero_1,Almuerzo,Tarjeta de crédito,15.15,Reservada,100,Paraguay,"Plato_7, Plato_5, Plato_1",01/04/2023,03:32:00,06:45:00,166,0 days 04:14:00,0 days 03:13:00,0 days 03:13:00,-1 days +22:59:00,No
100,1,Cliente_313,5,Mesero_4,Almuerzo,Tarjeta de crédito,15.09,Libre,101,Venezuela,"Plato_17, Plato_1, Plato_5, Plato_8",01/04/2023,00:14:00,02:15:00,138,0 days 02:55:00,0 days 02:01:00,0 days 02:01:00,-1 days +23:06:00,No
101,19,Cliente_520,2,Mesero_3,Almuerzo,Tarjeta de crédito,12.65,Reservada,102,Venezuela,"Plato_16, Plato_9",01/04/2023,01:33:00,04:14:00,171,0 days 02:18:00,0 days 02:41:00,0 days 02:41:00,0 days 00:23:00,Si
