Número de Orden,Número de Mesa,Nombre del Plato,Descripción del Plato,Costo Unitario,Precio Unitario,Cantidad Ordenada,Tiempo de Preparación,Observaciones,Ganancia Bruta,Ganancia Neta,Porcentaje de Ganancia
20,8,Plato_8,Descripción del Plato_8,21,35,3,50,Sin cebolla,105,42,40.00%
20,8,Plato_1,Descripción del Plato_1,15,25,2,6,Sin cebolla,50,20,40.00%
20,8,Plato_14,Descripción del Plato_14,14,23,1,14,Sin cebolla,23,9,39.00%
21,12,Plato_20,Descripción del Plato_20,25,40,3,20,Ninguna,120,45,38.00%
21,12,Plato_3,Descripción del Plato_3,12,20,2,43,Ninguna,40,16,40.00%
21,12,Plato_15,Descripción del Plato_15,19,32,2,44,Sin cebolla,64,26,41.00%
21,12,Plato_1,Descripción del Plato_1,15,25,2,45,Sin cebolla,50,20,40.00%
22,15,Plato_4,Descripción del Plato_4,10,18,1,32,Ninguna,18,8,44.00%
22,15,Plato_18,Descripción del Plato_18,20,34,3,19,Ninguna,102,42,41.00%
22,15,Plato_9,Descripción del Plato_9,17,29,2,13,Sin cebolla,58,24,41.00%
22,15,Plato_8,Descripción del Plato_8,21,35,1,59,Sin cebolla,35,14,40.00%
23,1,Plato_12,Descripción del Plato_12,11,19,3,46,Sin cebolla,57,24,42.00%
23,1,Plato_6,Descripción del Plato_6,16,27,3,17,Sin cebolla,81,33,41.00%
24,5,Plato_10,Descripción del Plato_10,15,26,3,45,Ninguna,78,33,42.00%
24,5,Plato_9,Descripción del Plato_9,17,29,1,46,Ninguna,29,12,41.00%
24,5,Plato_14,Descripción del Plato_14,14,23,2,42,Sin cebolla,46,18,39.00%
24,5,Plato_20,Descripción del Plato_20,25,40,2,47,Sin cebolla,80,30,38.00%
25,12,Plato_18,Descripción del Plato_18,20,34,1,35,Sin cebolla,34,14,41.00%
26,18,Plato_4,Descripción del Plato_4,10,18,2,13,Sin cebolla,36,16,44.00%
26,18,Plato_13,Descripción del Plato_13,13,21,2,54,Ninguna,42,16,38.00%
26,18,Plato_7,Descripción del Plato_7,14,24,2,42,Sin cebolla,48,20,42.00%
27,4,Plato_8,Descripción del Plato_8,21,35,1,17,Ninguna,35,14,40.00%
27,4,Plato_10,Descripción del Plato_10,15,26,1,38,Sin cebolla,26,11,42.00%
28,2,Plato_4,Descripción del Plato_4,10,18,2,17,Sin cebolla,36,16,44.00%
28,2,Plato_9,Descripción del Plato_9,17,29,2,39,Sin cebolla,58,24,41.00%
29,20,Plato_1,Descripción del Plato_1,15,25,3,22,Sin cebolla,75,30,40.00%
29,20,Plato_4,Descripción del Plato_4,10,18,2,18,Ninguna,36,16,44.00%
29,20,Plato_17,Descripción del Plato_17,19,31,2,31,Sin cebolla,62,24,39.00%
30,14,Plato_10,Descripción del Plato_10,15,26,2,14,Ninguna,52,22,42.00%
30,14,Plato_3,Descripción del Plato_3,12,20,3,55,Ninguna,60,24,40.00%
31,13,Plato_9,Descripción del Plato_9,17,29,1,59,Sin cebolla,29,12,41.00%
31,13,Plato_12,Descripción del Plato_12,11,19,2,46,Sin cebolla,38,16,42.00%
32,5,Plato_15,Descripción del Plato_15,19,32,2,50,Sin cebolla,64,26,41.00%
32,5,Plato_11,Descripción del Plato_11,20,33,1,20,Sin cebolla,33,13,39.00%
32,5,Plato_10,Descripción del Plato_10,15,26,3,35,Ninguna,78,33,42.00%
32,5,Plato_4,Descripción del Plato_4,10,18,2,23,Ninguna,36,16,44.00%
33,4,Plato_8,Descripción del Plato_8,21,35,3,6,Sin cebolla,105,42,40.00%
33,4,Plato_6,Descripción del Plato_6,16,27,1,59,Ninguna,27,11,41.00%
33,4,Plato_15,Descripción del Plato_15,19,32,3,55,Sin cebolla,96,39,41.00%
33,4,Plato_10,Descripción del Plato_10,15,26,3,10,Ninguna,78,33,42.00%
34,15,Plato_18,Descripción del Plato_18,20,34,1,46,Ninguna,34,14,41.00%
34,15,Plato_10,Descripción del Plato_10,15,26,3,19,Sin cebolla,78,33,42.00%
35,13,Plato_2,Descripción del Plato_2,18,30,3,5,Sin cebolla,90,36,40.00%
35,13,Plato_9,Descripción del Plato_9,17,29,1,8,Ninguna,29,12,41.00%
35,13,Plato_11,Descripción del Plato_11,20,33,1,21,Ninguna,33,13,39.00%
35,13,Plato_17,Descripción del Plato_17,19,31,2,31,Sin cebolla,62,24,39.00%
36,5,Plato_2,Descripción del Plato_2,18,30,1,38,Ninguna,30,12,40.00%
37,20,Plato_13,Descripción del Plato_13,13,21,1,47,Ninguna,21,8,38.00%
38,10,Plato_17,Descripción del Plato_17,19,31,3,21,Sin cebolla,93,36,39.00%
38,10,Plato_8,Descripción del Plato_8,21,35,2,34,Ninguna,70,28,40.00%
38,10,Plato_19,Descripción del Plato_19,22,36,2,43,Ninguna,72,28,39.00%
39,15,Plato_19,Descripción del Plato_19,22,36,3,57,Ninguna,108,42,39.00%
40,1,Plato_9,Descripción del Plato_9,17,29,3,15,Sin cebolla,87,36,41.00%
40,1,Plato_11,Descripción del Plato_11,20,33,1,50,Sin cebolla,33,13,39.00%
40,1,Plato_16,Descripción del Plato_16,16,28,1,13,Sin cebolla,28,12,43.00%
41,7,Plato_15,Descripción del Plato_15,19,32,3,23,Sin cebolla,96,39,41.00%
41,7,Plato_10,Descripción del Plato_10,15,26,3,47,Sin cebolla,78,33,42.00%
41,7,Plato_2,Descripción del Plato_2,18,30,1,19,Sin cebolla,30,12,40.00%
42,14,Plato_5,Descripción del Plato_5,13,22,1,57,Sin cebolla,22,9,41.00%
42,14,Plato_20,Descripción del Plato_20,25,40,2,12,Sin cebolla,80,30,38.00%
43,8,Plato_15,Descripción del Plato_15,19,32,1,6,Sin cebolla,32,13,41.00%
43,8,Plato_18,Descripción del Plato_18,20,34,2,59,Sin cebolla,68,28,41.00%
43,8,Plato_7,Descripción del Plato_7,14,24,3,57,Ninguna,72,30,42.00%
43,8,Plato_17,Descripción del Plato_17,19,31,1,24,Ninguna,31,12,39.00%
44,18,Plato_10,Descripción del Plato_10,15,26,1,34,Sin cebolla,26,11,42.00%
44,18,Plato_1,Descripción del Plato_1,15,25,3,8,Ninguna,75,30,40.00%
44,18,Plato_13,Descripción del Plato_13,13,21,1,43,Ninguna,21,8,38.00%
45,17,Plato_4,Descripción del Plato_4,10,18,3,47,Ninguna,54,24,44.00%
46,10,Plato_2,Descripción del Plato_2,18,30,2,23,Sin cebolla,60,24,40.00%
46,10,Plato_18,Descripción del Plato_18,20,34,1,48,Sin cebolla,34,14,41.00%
46,10,Plato_14,Descripción del Plato_14,14,23,2,15,Ninguna,46,18,39.00%
47,18,Plato_11,Descripción del Plato_11,20,33,2,56,Ninguna,66,26,39.00%
47,18,Plato_14,Descripción del Plato_14,14,23,1,17,Sin cebolla,23,9,39.00%
47,18,Plato_3,Descripción del Plato_3,12,20,1,14,Sin cebolla,20,8,40.00%
48,17,Plato_6,Descripción del Plato_6,16,27,3,37,Sin cebolla,81,33,41.00%
48,17,Plato_5,Descripción del Plato_5,13,22,2,55,Ninguna,44,18,41.00%
48,17,Plato_11,Descripción del Plato_11,20,33,1,32,Sin cebolla,33,13,39.00%
49,8,Plato_7,Descripción del Plato_7,14,24,3,9,Ninguna,72,30,42.00%
49,8,Plato_15,Descripción del Plato_15,19,32,3,27,Ninguna,96,39,41.00%
49,8,Plato_4,Descripción del Plato_4,10,18,1,45,Sin cebolla,18,8,44.00%
50,19,Plato_15,Descripción del Plato_15,19,32,1,6,Ninguna,32,13,41.00%
50,19,Plato_5,Descripción del Plato_5,13,22,2,15,Ninguna,44,18,41.00%
51,12,Plato_14,Descripción del Plato_14,14,23,2,33,Sin cebolla,46,18,39.00%
51,12,Plato_11,Descripción del Plato_11,20,33,3,56,Ninguna,99,39,39.00%
51,12,Plato_5,Descripción del Plato_5,13,22,2,53,Ninguna,44,18,41.00%
51,12,Plato_4,Descripción del Plato_4,10,18,2,22,Ninguna,36,16,44.00%
52,7,Plato_11,Descripción del Plato_11,20,33,3,13,Ninguna,99,39,39.00%
52,7,Plato_17,Descripción del Plato_17,19,31,2,17,Sin cebolla,62,24,39.00%
52,7,Plato_18,Descripción del Plato_18,20,34,3,32,Ninguna,102,42,41.00%
53,16,Plato_14,Descripción del Plato_14,14,23,3,47,Sin cebolla,69,27,39.00%
53,16,Plato_2,Descripción del Plato_2,18,30,3,39,Sin cebolla,90,36,40.00%
53,16,Plato_19,Descripción del Plato_19,22,36,3,26,Ninguna,108,42,39.00%
54,6,Plato_8,Descripción del Plato_8,21,35,3,47,Ninguna,105,42,40.00%
54,6,Plato_17,Descripción del Plato_17,19,31,1,55,Sin cebolla,31,12,39.00%
54,6,Plato_4,Descripción del Plato_4,10,18,1,55,Sin cebolla,18,8,44.00%
54,6,Plato_11,Descripción del Plato_11,20,33,1,46,Sin cebolla,33,13,39.00%
55,20,Plato_11,Descripción del Plato_11,20,33,3,27,Sin cebolla,99,39,39.00%
55,20,Plato_7,Descripción del Plato_7,14,24,1,5,Ninguna,24,10,42.00%
55,20,Plato_19,Descripción del Plato_19,22,36,1,51,Sin cebolla,36,14,39.00%
55,20,Plato_15,Descripción del Plato_15,19,32,3,13,Ninguna,96,39,41.00%
56,1,Plato_9,Descripción del Plato_9,17,29,1,38,Ninguna,29,12,41.00%
56,1,Plato_12,Descripción del Plato_12,11,19,1,40,Sin cebolla,19,8,42.00%
57,18,Plato_8,Descripción del Plato_8,21,35,1,21,Sin cebolla,35,14,40.00%
57,18,Plato_20,Descripción del Plato_20,25,40,1,30,Sin cebolla,40,15,38.00%
57,18,Plato_5,Descripción del Plato_5,13,22,1,10,Ninguna,22,9,41.00%
57,18,Plato_19,Descripción del Plato_19,22,36,2,7,Sin cebolla,72,28,39.00%
58,8,Plato_5,Descripción del Plato_5,13,22,1,17,Sin cebolla,22,9,41.00%
58,8,Plato_3,Descripción del Plato_3,12,20,3,56,Sin cebolla,60,24,40.00%
59,8,Plato_12,Descripción del Plato_12,11,19,2,13,Ninguna,38,16,42.00%
59,8,Plato_14,Descripción del Plato_14,14,23,2,9,Ninguna,46,18,39.00%
59,8,Plato_4,Descripción del Plato_4,10,18,2,13,Sin cebolla,36,16,44.00%
59,8,Plato_20,Descripción del Plato_20,25,40,1,13,Sin cebolla,40,15,38.00%
60,6,Plato_4,Descripción del Plato_4,10,18,2,23,Ninguna,36,16,44.00%
60,6,Plato_11,Descripción del Plato_11,20,33,2,20,Sin cebolla,66,26,39.00%
61,10,Plato_20,Descripción del Plato_20,25,40,2,56,Ninguna,80,30,38.00%
61,10,Plato_4,Descripción del Plato_4,10,18,1,39,Sin cebolla,18,8,44.00%
61,10,Plato_2,Descripción del Plato_2,18,30,2,13,Ninguna,60,24,40.00%
61,10,Plato_16,Descripción del Plato_16,16,28,3,51,Sin cebolla,84,36,43.00%
62,2,Plato_2,Descripción del Plato_2,18,30,2,59,Sin cebolla,60,24,40.00%
62,2,Plato_12,Descripción del Plato_12,11,19,3,46,Sin cebolla,57,24,42.00%
62,2,Plato_17,Descripción del Plato_17,19,31,1,50,Sin cebolla,31,12,39.00%
63,17,Plato_3,Descripción del Plato_3,12,20,1,10,Sin cebolla,20,8,40.00%
63,17,Plato_8,Descripción del Plato_8,21,35,1,20,Ninguna,35,14,40.00%
64,3,Plato_3,Descripción del Plato_3,12,20,3,25,Ninguna,60,24,40.00%
64,3,Plato_20,Descripción del Plato_20,25,40,3,47,Sin cebolla,120,45,38.00%
64,3,Plato_19,Descripción del Plato_19,22,36,3,10,Ninguna,108,42,39.00%
65,5,Plato_16,Descripción del Plato_16,16,28,1,32,Sin cebolla,28,12,43.00%
65,5,Plato_17,Descripción del Plato_17,19,31,1,55,Sin cebolla,31,12,39.00%
65,5,Plato_12,Descripción del Plato_12,11,19,3,51,Ninguna,57,24,42.00%
65,5,Plato_20,Descripción del Plato_20,25,40,2,17,Ninguna,80,30,38.00%
66,18,Plato_19,Descripción del Plato_19,22,36,1,29,Ninguna,36,14,39.00%
66,18,Plato_20,Descripción del Plato_20,25,40,3,30,Ninguna,120,45,38.00%
66,18,Plato_4,Descripción del Plato_4,10,18,3,55,Sin cebolla,54,24,44.00%
67,2,Plato_20,Descripción del Plato_20,25,40,1,22,Ninguna,40,15,38.00%
67,2,Plato_19,Descripción del Plato_19,22,36,3,59,Sin cebolla,108,42,39.00%
67,2,Plato_10,Descripción del Plato_10,15,26,3,15,Sin cebolla,78,33,42.00%
67,2,Plato_2,Descripción del Plato_2,18,30,1,35,Sin cebolla,30,12,40.00%
68,8,Plato_14,Descripción del Plato_14,14,23,3,43,Ninguna,69,27,39.00%
68,8,Plato_16,Descripción del Plato_16,16,28,1,19,Sin cebolla,28,12,43.00%
68,8,Plato_15,Descripción del Plato_15,19,32,3,57,Sin cebolla,96,39,41.00%
68,8,Plato_1,Descripción del Plato_1,15,25,1,26,Sin cebolla,25,10,40.00%
69,5,Plato_13,Descripción del Plato_13,13,21,3,20,Ninguna,63,24,38.00%
69,5,Plato_7,Descripción del Plato_7,14,24,3,48,Sin cebolla,72,30,42.00%
69,5,Plato_11,Descripción del Plato_11,20,33,3,24,Sin cebolla,99,39,39.00%
70,17,Plato_1,Descripción del Plato_1,15,25,2,19,Sin cebolla,50,20,40.00%
70,17,Plato_18,Descripción del Plato_18,20,34,2,21,Sin cebolla,68,28,41.00%
71,18,Plato_2,Descripción del Plato_2,18,30,3,20,Sin cebolla,90,36,40.00%
71,18,Plato_14,Descripción del Plato_14,14,23,2,29,Sin cebolla,46,18,39.00%
72,17,Plato_13,Descripción del Plato_13,13,21,1,17,Sin cebolla,21,8,38.00%
72,17,Plato_4,Descripción del Plato_4,10,18,3,37,Sin cebolla,54,24,44.00%
73,1,Plato_6,Descripción del Plato_6,16,27,3,20,Ninguna,81,33,41.00%
74,19,Plato_10,Descripción del Plato_10,15,26,2,39,Sin cebolla,52,22,42.00%
74,19,Plato_18,Descripción del Plato_18,20,34,3,37,Ninguna,102,42,41.00%
74,19,Plato_15,Descripción del Plato_15,19,32,2,24,Sin cebolla,64,26,41.00%
75,19,Plato_20,Descripción del Plato_20,25,40,1,35,Ninguna,40,15,38.00%
75,19,Plato_14,Descripción del Plato_14,14,23,3,16,Sin cebolla,69,27,39.00%
76,17,Plato_2,Descripción del Plato_2,18,30,3,13,Sin cebolla,90,36,40.00%
76,17,Plato_4,Descripción del Plato_4,10,18,1,34,Sin cebolla,18,8,44.00%
76,17,Plato_7,Descripción del Plato_7,14,24,1,20,Ninguna,24,10,42.00%
76,17,Plato_10,Descripción del Plato_10,15,26,1,30,Ninguna,26,11,42.00%
77,3,Plato_4,Descripción del Plato_4,10,18,1,34,Sin cebolla,18,8,44.00%
77,3,Plato_7,Descripción del Plato_7,14,24,2,55,Ninguna,48,20,42.00%
77,3,Plato_11,Descripción del Plato_11,20,33,1,8,Sin cebolla,33,13,39.00%
78,7,Plato_12,Descripción del Plato_12,11,19,3,54,Sin cebolla,57,24,42.00%
79,16,Plato_9,Descripción del Plato_9,17,29,3,14,Ninguna,87,36,41.00%
79,16,Plato_11,Descripción del Plato_11,20,33,3,14,Sin cebolla,99,39,39.00%
79,16,Plato_3,Descripción del Plato_3,12,20,3,25,Ninguna,60,24,40.00%
79,16,Plato_13,Descripción del Plato_13,13,21,3,43,Ninguna,63,24,38.00%
80,18,Plato_5,Descripción del Plato_5,13,22,2,5,Ninguna,44,18,41.00%
80,18,Plato_9,Descripción del Plato_9,17,29,1,34,Sin cebolla,29,12,41.00%
80,18,Plato_7,Descripción del Plato_7,14,24,2,28,Ninguna,48,20,42.00%
81,17,Plato_17,Descripción del Plato_17,19,31,2,59,Sin cebolla,62,24,39.00%
82,16,Plato_1,Descripción del Plato_1,15,25,2,11,Sin cebolla,50,20,40.00%
82,16,Plato_2,Descripción del Plato_2,18,30,1,8,Sin cebolla,30,12,40.00%
83,15,Plato_6,Descripción del Plato_6,16,27,2,14,Ninguna,54,22,41.00%
83,15,Plato_3,Descripción del Plato_3,12,20,1,30,Sin cebolla,20,8,40.00%
83,15,Plato_15,Descripción del Plato_15,19,32,3,50,Ninguna,96,39,41.00%
84,19,Plato_2,Descripción del Plato_2,18,30,2,10,Sin cebolla,60,24,40.00%
85,8,Plato_16,Descripción del Plato_16,16,28,3,26,Sin cebolla,84,36,43.00%
85,8,Plato_19,Descripción del Plato_19,22,36,2,33,Sin cebolla,72,28,39.00%
85,8,Plato_3,Descripción del Plato_3,12,20,1,54,Sin cebolla,20,8,40.00%
85,8,Plato_15,Descripción del Plato_15,19,32,1,29,Sin cebolla,32,13,41.00%
86,20,Plato_1,Descripción del Plato_1,15,25,2,8,Sin cebolla,50,20,40.00%
87,3,Plato_4,Descripción del Plato_4,10,18,2,55,Ninguna,36,16,44.00%
87,3,Plato_15,Descripción del Plato_15,19,32,1,5,Sin cebolla,32,13,41.00%
87,3,Plato_17,Descripción del Plato_17,19,31,1,11,Ninguna,31,12,39.00%
88,18,Plato_20,Descripción del Plato_20,25,40,1,12,Ninguna,40,15,38.00%
88,18,Plato_12,Descripción del Plato_12,11,19,3,46,Sin cebolla,57,24,42.00%
88,18,Plato_10,Descripción del Plato_10,15,26,1,59,Ninguna,26,11,42.00%
89,11,Plato_14,Descripción del Plato_14,14,23,3,44,Sin cebolla,69,27,39.00%
89,11,Plato_18,Descripción del Plato_18,20,34,2,58,Ninguna,68,28,41.00%
89,11,Plato_5,Descripción del Plato_5,13,22,1,40,Sin cebolla,22,9,41.00%
90,6,Plato_18,Descripción del Plato_18,20,34,1,48,Sin cebolla,34,14,41.00%
91,1,Plato_8,Descripción del Plato_8,21,35,3,21,Sin cebolla,105,42,40.00%
91,1,Plato_13,Descripción del Plato_13,13,21,3,52,Ninguna,63,24,38.00%
91,1,Plato_5,Descripción del Plato_5,13,22,2,11,Ninguna,44,18,41.00%
91,1,Plato_6,Descripción del Plato_6,16,27,3,48,Ninguna,81,33,41.00%
92,6,Plato_9,Descripción del Plato_9,17,29,2,36,Ninguna,58,24,41.00%
92,6,Plato_7,Descripción del Plato_7,14,24,1,6,Sin cebolla,24,10,42.00%
93,2,Plato_9,Descripción del Plato_9,17,29,1,18,Sin cebolla,29,12,41.00%
94,12,Plato_2,Descripción del Plato_2,18,30,3,19,Sin cebolla,90,36,40.00%
94,12,Plato_15,Descripción del Plato_15,19,32,2,56,Sin cebolla,64,26,41.00%
94,12,Plato_11,Descripción del Plato_11,20,33,3,54,Sin cebolla,99,39,39.00%
95,12,Plato_12,Descripción del Plato_12,11,19,3,19,Sin cebolla,57,24,42.00%
95,12,Plato_15,Descripción del Plato_15,19,32,3,22,Sin cebolla,96,39,41.00%
96,16,Plato_11,Descripción del Plato_11,20,33,2,47,Ninguna,66,26,39.00%
96,16,Plato_12,Descripción del Plato_12,11,19,2,10,Ninguna,38,16,42.00%
96,16,Plato_7,Descripción del Plato_7,14,24,3,19,Sin cebolla,72,30,42.00%
97,14,Plato_10,Descripción del Plato_10,15,26,1,17,Sin cebolla,26,11,42.00%
97,14,Plato_3,Descripción del Plato_3,12,20,3,5,Ninguna,60,24,40.00%
97,14,Plato_18,Descripción del Plato_18,20,34,3,57,Ninguna,102,42,41.00%
98,7,Plato_3,Descripción del Plato_3,12,20,3,56,Sin cebolla,60,24,40.00%
98,7,Plato_9,Descripción del Plato_9,17,29,3,33,Sin cebolla,87,36,41.00%
98,7,Plato_12,Descripción del Plato_12,11,19,1,51,Sin cebolla,19,8,42.00%
99,2,Plato_2,Descripción del Plato_2,18,30,2,27,Sin cebolla,60,24,40.00%
99,2,Plato_17,Descripción del Plato_17,19,31,1,5,Sin cebolla,31,12,39.00%
99,2,Plato_12,Descripción del Plato_12,11,19,1,9,Ninguna,19,8,42.00%
99,2,Plato_9,Descripción del Plato_9,17,29,1,45,Ninguna,29,12,41.00%
100,18,Plato_7,Descripción del Plato_7,14,24,3,48,Sin cebolla,72,30,42.00%
100,18,Plato_5,Descripción del Plato_5,13,22,2,33,Ninguna,44,18,41.00%
100,18,Plato_1,Descripción del Plato_1,15,25,2,22,Sin cebolla,50,20,40.00%
101,1,Plato_17,Descripción del Plato_17,19,31,1,24,Sin cebolla,31,12,39.00%
101,1,Plato_1,Descripción del Plato_1,15,25,2,41,Sin cebolla,50,20,40.00%
101,1,Plato_5,Descripción del Plato_5,13,22,1,35,Sin cebolla,22,9,41.00%
101,1,Plato_8,Descripción del Plato_8,21,35,1,34,Sin cebolla,35,14,40.00%
102,19,Plato_16,Descripción del Plato_16,16,28,3,17,Sin cebolla,84,36,43.00%
102,19,Plato_9,Descripción del Plato_9,17,29,3,29,Ninguna,87,36,41.00%
103,13,Plato_13,Descripción del Plato_13,13,21,1,57,Sin cebolla,21,8,38.00%
103,13,Plato_18,Descripción del Plato_18,20,34,1,9,Ninguna,34,14,41.00%
103,13,Plato_4,Descripción del Plato_4,10,18,1,33,Sin cebolla,18,8,44.00%
104,14,Plato_14,Descripción del Plato_14,14,23,2,43,Sin cebolla,46,18,39.00%
104,14,Plato_17,Descripción del Plato_17,19,31,1,12,Ninguna,31,12,39.00%
105,14,Plato_3,Descripción del Plato_3,12,20,3,9,Ninguna,60,24,40.00%
105,14,Plato_6,Descripción del Plato_6,16,27,3,34,Ninguna,81,33,41.00%
106,15,Plato_18,Descripción del Plato_18,20,34,2,29,Ninguna,68,28,41.00%
107,11,Plato_15,Descripción del Plato_15,19,32,2,48,Ninguna,64,26,41.00%
107,11,Plato_9,Descripción del Plato_9,17,29,3,51,Sin cebolla,87,36,41.00%
107,11,Plato_18,Descripción del Plato_18,20,34,3,42,Sin cebolla,102,42,41.00%
108,3,Plato_9,Descripción del Plato_9,17,29,2,23,Ninguna,58,24,41.00%
108,3,Plato_4,Descripción del Plato_4,10,18,1,10,Sin cebolla,18,8,44.00%
108,3,Plato_3,Descripción del Plato_3,12,20,1,26,Sin cebolla,20,8,40.00%
108,3,Plato_16,Descripción del Plato_16,16,28,1,56,Ninguna,28,12,43.00%
109,10,Plato_18,Descripción del Plato_18,20,34,3,54,Sin cebolla,102,42,41.00%
109,10,Plato_14,Descripción del Plato_14,14,23,1,26,Sin cebolla,23,9,39.00%
109,10,Plato_5,Descripción del Plato_5,13,22,2,38,Ninguna,44,18,41.00%
110,5,Plato_9,Descripción del Plato_9,17,29,2,38,Ninguna,58,24,41.00%
110,5,Plato_10,Descripción del Plato_10,15,26,3,27,Ninguna,78,33,42.00%
110,5,Plato_6,Descripción del Plato_6,16,27,1,56,Sin cebolla,27,11,41.00%
111,3,Plato_15,Descripción del Plato_15,19,32,1,47,Sin cebolla,32,13,41.00%
111,3,Plato_5,Descripción del Plato_5,13,22,3,5,Ninguna,66,27,41.00%
111,3,Plato_7,Descripción del Plato_7,14,24,2,48,Ninguna,48,20,42.00%
111,3,Plato_9,Descripción del Plato_9,17,29,2,37,Sin cebolla,58,24,41.00%
112,6,Plato_3,Descripción del Plato_3,12,20,1,16,Sin cebolla,20,8,40.00%
113,4,Plato_18,Descripción del Plato_18,20,34,2,51,Ninguna,68,28,41.00%
114,7,Plato_2,Descripción del Plato_2,18,30,3,36,Ninguna,90,36,40.00%
114,7,Plato_9,Descripción del Plato_9,17,29,3,22,Ninguna,87,36,41.00%
114,7,Plato_4,Descripción del Plato_4,10,18,3,31,Sin cebolla,54,24,44.00%
114,7,Plato_5,Descripción del Plato_5,13,22,1,42,Sin cebolla,22,9,41.00%
